method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,method.ours.lambda_align
baseline,local_var_topk_021,local_var_topk,2,0.765625,0.0200892857142857,0.7790178571428572,0.7522321428571428,0.653745100333,2.5265375e-05,0.035318587196,,,
baseline,coord_01_train_lr_005,coord:train.lr,2,0.7578125,0.0323660714285714,0.7723214285714286,0.7433035714285714,1.0,1.2632687420587218e-05,0.01,,,
baseline,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.7544642857142858,0.022321428571428548,0.7611607142857143,0.7477678571428572,0.9537451003327635,1.2632687420587218e-05,0.035318587196151295,,,
baseline,local_var_topk_019,local_var_topk,2,0.7511160714285714,0.012276785714285643,0.7678571428571428,0.734375,0.953745100333,2.5265375e-05,0.025318587196,,,
baseline,coord_03_train_grad_clip_003,coord:train.grad_clip,2,0.75,0.008928571428571397,0.765625,0.734375,0.8690175238301865,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.75,0.0267857142857143,0.7611607142857143,0.7388392857142857,1.4235623362774221,1.2632687420587218e-05,0.035318587196151295,,,
baseline,local_var_topk_013,local_var_topk,2,0.75,0.0357142857142857,0.75,0.75,0.953745100333,1.2632687e-05,0.035318587196,,,
baseline,coord_02_train_weight_decay_003,coord:train.weight_decay,2,0.7488839285714286,0.0323660714285714,0.75,0.7477678571428572,1.0,1.2632687420587218e-05,0.035318587196151295,,,
baseline,local_var_topk_023,local_var_topk,2,0.7488839285714286,0.0234375,0.7700892857142858,0.7276785714285714,1.253745100333,2.5265375e-05,0.035318587196,,,
baseline,local_var_topk_018,local_var_topk,2,0.7466517857142858,0.01004464285714285,0.7589285714285714,0.734375,0.653745100333,2.5265375e-05,0.025318587196,,,
baseline,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.7466517857142857,0.0033482142857143016,0.7611607142857143,0.7321428571428572,1.0,1.2632687420587218e-05,0.024742505611920138,,,
baseline,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.7455357142857142,0.01785714285714285,0.7455357142857142,0.7455357142857142,0.6972133520518287,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_01_anchor,coord:train.lr,2,0.7444196428571428,0.018973214285714246,0.7589285714285714,0.7299107142857142,1.0,2e-05,0.01,,,
baseline,local_var_topk_025,local_var_topk,2,0.7444196428571428,0.01004464285714285,0.765625,0.7232142857142857,0.953745100333,2.5265375e-05,0.045318587196,,,
baseline,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.7433035714285714,0.015625,0.7544642857142857,0.7321428571428572,1.0,1.2632687420587218e-05,0.007863245139373703,,,
baseline,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.7433035714285714,0.0200892857142857,0.7544642857142857,0.7321428571428571,0.9733492506568604,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.7433035714285714,0.0200892857142857,0.7477678571428571,0.7388392857142857,1.979075829358662,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.7421875,0.0435267857142857,0.7477678571428572,0.7366071428571428,1.3976850553319569,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.7410714285714286,0.0267857142857143,0.7410714285714286,0.7410714285714286,1.0,1.2632687420587218e-05,0.01543368425632205,,,
baseline,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.7399553571428572,0.023437499999999944,0.75,0.7299107142857142,0.6271934850757253,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.7399553571428572,0.005580357142857151,0.75,0.7299107142857143,1.5112336071971466,1.2632687420587218e-05,0.035318587196151295,,,
baseline,local_var_topk_012,local_var_topk,2,0.7388392857142858,0.03348214285714285,0.7388392857142858,0.7388392857142858,0.653745100333,1.2632687e-05,0.035318587196,,,
baseline,local_var_topk_016,local_var_topk,2,0.7388392857142858,0.015624999999999944,0.7477678571428572,0.7299107142857143,0.953745100333,1.2632687e-05,0.045318587196,,,
baseline,local_var_topk_020,local_var_topk,2,0.7388392857142858,0.015624999999999944,0.7611607142857143,0.7165178571428572,1.253745100333,2.5265375e-05,0.025318587196,,,
baseline,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.7388392857142857,0.024553571428571397,0.7388392857142857,0.7388392857142857,0.8623574172053887,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_02_anchor,coord:train.weight_decay,2,0.7366071428571428,0.022321428571428548,0.7366071428571428,0.7366071428571428,1.0,1.2632687420587218e-05,0.01,,,
baseline,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.7366071428571428,0.04017857142857145,0.7366071428571428,0.7366071428571428,1.0,1.2632687420587218e-05,0.007589584457877514,,,
baseline,local_var_topk_009,local_var_topk,2,0.7366071428571428,0.01785714285714285,0.7366071428571428,0.7366071428571428,0.653745100333,1.2632687e-05,0.025318587196,,,
baseline,local_var_topk_015,local_var_topk,2,0.7366071428571428,0.026785714285714246,0.7366071428571428,0.7366071428571428,0.653745100333,1.2632687e-05,0.045318587196,,,
baseline,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.7354910714285714,0.0279017857142857,0.7388392857142857,0.7321428571428571,1.0,1.2632687420587218e-05,0.02446709884391641,,,
baseline,local_var_topk_026,local_var_topk,2,0.7354910714285714,0.018973214285714246,0.7455357142857143,0.7254464285714286,1.253745100333,2.5265375e-05,0.045318587196,,,
baseline,local_var_topk_010,local_var_topk,2,0.734375,0.024553571428571397,0.7410714285714286,0.7276785714285714,0.953745100333,1.2632687e-05,0.025318587196,,,
baseline,local_var_topk_014,local_var_topk,2,0.734375,0.029017857142857095,0.734375,0.734375,1.253745100333,1.2632687e-05,0.035318587196,,,
baseline,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.7321428571428572,0.026785714285714246,0.7321428571428572,0.7321428571428572,1.0,1.2632687420587218e-05,0.012627914022778375,,,
baseline,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.7321428571428572,0.04017857142857145,0.7321428571428572,0.7321428571428572,0.5277354059107395,1.2632687420587218e-05,0.035318587196151295,,,
baseline,local_var_topk_011,local_var_topk,2,0.7321428571428572,0.035714285714285754,0.7321428571428572,0.7321428571428572,1.253745100333,1.2632687e-05,0.025318587196,,,
baseline,local_var_topk_017,local_var_topk,2,0.7321428571428572,0.026785714285714246,0.7321428571428572,0.7321428571428572,1.253745100333,1.2632687e-05,0.045318587196,,,
baseline,coord_01_train_lr_004,coord:train.lr,2,0.7321428571428571,0.03125,0.7321428571428571,0.7321428571428571,1.0,2.5551784142791192e-05,0.01,,,
baseline,local_var_topk_024,local_var_topk,2,0.7310267857142857,0.0279017857142857,0.7477678571428572,0.7142857142857142,0.653745100333,2.5265375e-05,0.045318587196,,,
baseline,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.7299107142857143,0.006696428571428603,0.7299107142857143,0.7299107142857143,1.0,1.2632687420587218e-05,0.03175375624865879,,,
baseline,coord_01_train_lr_008,coord:train.lr,2,0.7287946428571428,0.007812500000000056,0.7299107142857143,0.7276785714285714,1.0,3.073869450200515e-05,0.01,,,
baseline,coord_03_anchor,coord:train.grad_clip,2,0.7243303571428571,0.025669642857142905,0.7254464285714286,0.7232142857142857,1.0,1.2632687420587218e-05,0.035318587196151295,,,
baseline,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.7232142857142857,0.0357142857142857,0.7232142857142857,0.7232142857142857,1.0,1.2632687420587218e-05,0.01546097607936744,,,
