method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.2248883787475338,0.9390054941177368,0.0001671541976975277,0.03249562531709671,0.02833181992173195
baseline,3,1000.0,0.6149834295472514,0.005497371312230825,0.0,0.37371575832366943,0.6207869052886963
baseline,5,1000.0,0.4487992873691049,0.0018097187858074903,0.7428116202354431,0.026651620864868164,0.22872701287269592
baseline,7,1000.0,0.19008275855749523,0.3624430000782013,0.620120644569397,0.016681117936968803,0.0007551476010121405
baseline,11,1000.0,0.22551465507879154,0.0018978114239871502,0.9389533996582031,0.027698909863829613,0.03144990652799606
cagrad,2,1000.0,0.24627140756118168,0.18857507407665253,0.048040006309747696,0.0011542182182893157,0.7622306942939758
cagrad,3,1000.0,0.26435966224876983,0.0270730871707201,0.05725393444299698,0.001724374364130199,0.9139485955238342
cagrad,5,1000.0,0.1409112324783518,0.0028086616657674313,0.6271143555641174,0.3554142713546753,0.01466266717761755
cagrad,7,1000.0,0.18068698833995778,0.4486556351184845,0.533654510974884,0.011671805754303932,0.0060179694555699825
cagrad,11,1000.0,0.6652782763815098,0.5727942585945129,0.42720574140548706,0.0,0.0
ours,2,1000.0,0.42408483080054876,0.8121927380561829,0.16366657614707947,0.0004650164919439703,0.0236758254468441
ours,3,1000.0,0.18546454291051045,0.005154963117092848,0.49356746673583984,0.4955917000770569,0.005685911979526281
ours,5,1000.0,0.19024253085201828,0.5534555315971375,0.009466946125030518,0.012253607623279095,0.42482390999794006
ours,7,1000.0,0.1372149162774482,0.640506386756897,0.012973750941455364,6.33922463748604e-05,0.3464563488960266
ours,11,1000.0,0.26918941628631704,0.332813024520874,0.6085665822029114,0.008137424476444721,0.05048295855522156
