ts_epoch,event,phase,completed_jobs,total_jobs,failed_jobs,percent,eta_sec,elapsed_sec
1774756696.4182074,init,,0,0,0,0.0,,2.7894973754882812e-05
1774756696.418521,pipeline_start,,0,0,0,0.0,,0.0003871917724609375
1774756696.4229372,lock_wait,,0,0,0,0.0,,0.0006535053253173828
1774756696.4262834,lock_acquired,,0,0,0,0.0,,0.005105257034301758
1774756696.4300046,method_start,,0,0,0,0.0,,0.008406877517700195
1774756696.4363265,lock_wait,,0,0,0,0.0,,0.012230873107910156
1774756696.4404364,lock_acquired,,0,0,0,0.0,,0.01916050910949707
1774756696.443861,lock_released,,0,0,0,0.0,,0.022768735885620117
1774756696.4467783,lock_wait,,0,0,0,0.0,,0.027104616165161133
1774756696.4493194,lock_acquired,,0,0,0,0.0,,0.02909111976623535
1774756696.451866,plan_add,,0,24,0,0.0,,0.03150677680969238
1774756696.4542413,phase_start,baseline:coord:train.lr,0,24,0,0.0,,0.034041643142700195
1774756696.4864233,group_slots,baseline:coord:train.lr,0,24,0,0.0,,0.06806111335754395
1774756696.4898598,group_start,baseline:coord:train.lr,0,24,0,0.0,,0.0685882568359375
1774756882.1508667,job_done,baseline:coord:train.lr,1,24,0,4.166666666666667,4271.831473112106,185.73180317878723
1774757065.7981796,job_done,baseline:coord:train.lr,2,24,0,8.333333333333334,4063.1785299777985,369.37986636161804
1774757251.600567,job_done,baseline:coord:train.lr,3,24,0,12.5,3886.2756383419037,555.1822340488434
1774757429.520445,job_done,baseline:coord:train.lr,4,24,0,16.666666666666668,3665.510903596878,733.1021807193756
1774757615.5123835,job_done,baseline:coord:train.lr,5,24,0,20.833333333333332,3492.5575781822204,919.094099521637
1774757801.834672,job_done,baseline:coord:train.lr,6,24,0,25.0,3316.2488164901733,1105.416272163391
1774757986.268167,job_done,baseline:coord:train.lr,7,24,0,29.166666666666668,3132.492208412715,1289.849732875824
1774758166.4661448,job_done,baseline:coord:train.lr,8,24,0,33.333333333333336,2940.095648288727,1470.0478241443634
1774758348.5472267,job_done,baseline:coord:train.lr,9,24,0,37.5,2753.548016150792,1652.1288096904755
1774758538.4006283,job_done,baseline:coord:train.lr,10,24,0,41.666666666666664,2578.775300836563,1841.9823577404022
1774758716.5334144,job_done,baseline:coord:train.lr,11,24,0,45.833333333333336,2387.4086769494143,2020.1150343418121
1774758901.2098348,job_done,baseline:coord:train.lr,12,24,0,50.0,2204.7914505004883,2204.7914505004883
1774759078.5346212,job_done,baseline:coord:train.lr,13,24,0,54.166666666666664,2015.6369306490972,2382.1163725852966
1774759260.0758474,job_done,baseline:coord:train.lr,14,24,0,58.333333333333336,1831.1838388442993,2563.657374382019
1774759518.372862,job_done,baseline:coord:train.lr,15,24,0,62.5,1693.1726775169373,2821.9544625282288
1774759775.1311972,job_done,baseline:coord:train.lr,16,24,0,66.66666666666667,1539.3563935756683,3078.7127871513367
1774760026.9611454,job_done,baseline:coord:train.lr,17,24,0,70.83333333333333,1371.3999966733595,3330.5428490638733
1774760264.8880172,job_done,baseline:coord:train.lr,18,24,0,75.0,1189.4899027347565,3568.4697082042694
1774760523.6909602,job_done,baseline:coord:train.lr,19,24,0,79.16666666666667,1007.1768585004304,3827.2720623016357
1774760774.0647454,job_done,baseline:coord:train.lr,20,24,0,83.33333333333333,815.5292860507965,4077.6464302539825
1774761023.1645982,job_done,baseline:coord:train.lr,21,24,0,87.5,618.1065704481942,4326.74599313736
