method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay
baseline,local_t1_018,local,2,0.7308248556450985,0.015996363332643537,0.7308248556450985,0.7308248556450985,0.844204568578,5.1231564e-05,0.004184126715
baseline,coarse_066,coarse,2,0.7196903161800987,0.011142881586687525,0.7196903161800987,0.7196903161800987,1.9078425243244401,3.5913222970670444e-05,0.03991926086498026
baseline,coarse_027,coarse,2,0.7182740812507494,0.00017969919858851213,0.7182740812507494,0.7182740812507494,1.3559511137995206,4.730384734315544e-05,0.015409605795898652
baseline,local_t3_071,local,2,0.7174366283797781,0.011531474581934154,0.7174366283797781,0.7174366283797781,2.0,3.5913223e-05,0.049919260865
baseline,local_t1_013,local,2,0.7133083046494428,0.006824942844306792,0.7133083046494428,0.7133083046494428,1.144204568578,2.5615782e-05,0.014184126715
baseline,local_t1_015,local,2,0.7132223284810577,0.0025848163024083104,0.7132223284810577,0.7132223284810577,0.844204568578,2.5615782e-05,0.024184126715
baseline,local_t3_070,local,2,0.7129124115907599,0.01237058880764852,0.7129124115907599,0.7129124115907599,1.907842524324,3.5913223e-05,0.049919260865
baseline,local_t1_024,local,2,0.7127218633922204,0.0005447066121613275,0.7127218633922204,0.7127218633922204,0.844204568578,5.1231564e-05,0.024184126715
baseline,local_t1_021,local,2,0.712687851572356,0.0054619108564609165,0.712687851572356,0.712687851572356,0.844204568578,5.1231564e-05,0.014184126715
baseline,coarse_023,coarse,2,0.7117950183247286,0.0025331418072684353,0.7117950183247286,0.7117950183247286,1.1442045685777846,2.5615781751517532e-05,0.014184126715471135
baseline,local_t2_041,local,2,0.7117811067763751,0.00023785227026623668,0.7117811067763751,0.7117811067763751,1.6559511138,4.7303847e-05,0.015409605796
baseline,local_t3_080,local,2,0.7111443681810508,0.004688829472622058,0.7111443681810508,0.7111443681810508,2.0,7.1826446e-05,0.049919260865
baseline,local_t2_043,local,2,0.7103486499551404,0.011593466443507228,0.7103486499551404,0.7103486499551404,1.3559511138,4.7303847e-05,0.025409605796
baseline,coarse_064,coarse,2,0.7099906767882449,0.009509513955074433,0.7099906767882449,0.7099906767882449,1.9120811856332662,6.595049205884214e-05,0.01653768474006433
baseline,local_t2_027,local,2,0.7093462549574544,0.0007988203640432179,0.7093462549574544,0.7093462549574544,1.0559511138,2.3651924e-05,0.005409605796
baseline,local_t1_011,local,2,0.7084354988734687,0.0005852903272131615,0.7084354988734687,0.7084354988734687,1.444204568578,2.5615782e-05,0.004184126715
baseline,local_t1_025,local,2,0.7081440208999388,0.01084443299283222,0.7081440208999388,0.7081440208999388,1.144204568578,5.1231564e-05,0.024184126715
baseline,coarse_040,coarse,2,0.7080850223047408,0.013179530003393669,0.7080850223047408,0.7080850223047408,1.309127964096765,4.0372902098406946e-05,0.02706913974132745
baseline,local_t3_065,local,2,0.7079047038096609,0.004094641353581507,0.7079047038096609,0.7079047038096609,2.0,3.5913223e-05,0.029919260865
baseline,local_t3_058,local,2,0.7075322393876504,0.006201560127196637,0.7075322393876504,0.7075322393876504,1.907842524324,1.7956611e-05,0.039919260865
baseline,local_t2_037,local,2,0.7065289352400925,0.007802420348686889,0.7065289352400925,0.7065289352400925,1.3559511138,4.7303847e-05,0.005409605796
baseline,local_t1_022,local,2,0.7064403192850646,0.01342161978869355,0.7064403192850646,0.7064403192850646,1.144204568578,5.1231564e-05,0.014184126715
baseline,local_t1_016,local,2,0.7060529648828009,0.005190046766330114,0.7060529648828009,0.7060529648828009,1.144204568578,2.5615782e-05,0.024184126715
baseline,coarse_046,coarse,2,0.7058358618728344,0.020661646813322,0.7058358618728344,0.7058358618728344,1.0493059943080016,3.787839062237896e-05,0.035134476512755294
baseline,local_t3_062,local,2,0.7055769308991575,0.00193966630336867,0.7055769308991575,0.7055769308991575,2.0,1.7956611e-05,0.049919260865
baseline,coarse_022,coarse,2,0.7050294275553525,0.0014147064829856948,0.7050294275553525,0.7050294275553525,0.6032967871589558,2.077724856504641e-05,0.03819235712291283
baseline,local_t2_030,local,2,0.7045778642666332,0.003395089409785723,0.7045778642666332,0.7045778642666332,1.0559511138,2.3651924e-05,0.015409605796
baseline,coarse_default,coarse,2,0.7042022043878406,0.004051112445398131,0.7042022043878406,0.7042022043878406,1.0,2e-05,0.01
